term,definition,content
Bi-weekly payment,"In a bi-weekly payment plan, the mortgage servicer is collectinghalf of your monthly payment every two weeks, resulting in 26 paymentsover the course of the year(totaling one extra monthly payment per year). By making additional payments and applying your payments to the principal, you may be able to pay off your loan early. Before choosing a bi-weekly payment, be sure to review your loan terms to see if you will be subject to a prepayment penalty if you do so. Check if your servicer charges any fees for a bi-weekly payment plan. You may be able to accomplish the same goal without the fee by making an extra monthly mortgage payment each year.","In a bi-weekly payment plan, the mortgage servicer is collectinghalf of your monthly payment every two weeks, resulting in 26 paymentsover the course of the year(totaling one extra monthly payment per year). By making additional payments and applying your payments to the principal, you may be able to pay off your loan early. Before choosing a bi-weekly payment, be sure to review your loan terms to see if you will be subject to a prepayment penalty if you do so. Check if your servicer charges any fees for a bi-weekly payment plan. You may be able to accomplish the same goal without the fee by making an extra monthly mortgage payment each year."
Closing Disclosure,"A Closing Disclosure is a required five-page form that provides final details about the mortgage loan you have selected. It includes the loan terms, your projected monthly payments, and how much you will pay in fees and other costs to get your mortgage. Learn how to double-check that all the details about your loan are correct on your closing disclosure.","A Closing Disclosure is a required five-page form that provides final details about the mortgage loan you have selected. It includes the loan terms, your projected monthly payments, and how much you will pay in fees and other costs to get your mortgage. Learn how to double-check that all the details about your loan are correct on your closing disclosure."
Construction loan,A construction loan is usually a short-term loan that provides funds to cover the cost of building or rehabilitating a home. ,A construction loan is usually a short-term loan that provides funds to cover the cost of building or rehabilitating a home. 
Conventional loan,"A conventional loan is any mortgage loan that is not insured or guaranteed by the government (such as under Federal Housing Administration, Department of Veterans Affairs, or Department of Agriculture loan programs). ","A conventional loan is any mortgage loan that is not insured or guaranteed by the government (such as under Federal Housing Administration, Department of Veterans Affairs, or Department of Agriculture loan programs). "
Co-signer or co-borrower,A co-signer or co-borrower is someone who agrees to take full responsibility to pay back a mortgage loan with you. This person is obligated to pay any missed payments and even the full amount of the loan if you don't pay. Some mortgage programs distinguish a co-signer as someone who is not on the title and does not have any ownership interest in the mortgaged home. Having a co-signer or co-borrower on your mortgage loan gives your lender additional assurance that the loan will be repaid. But your co-signer or co-borrower's credit record and finances are at risk if you don't repay the loan. ,A co-signer or co-borrower is someone who agrees to take full responsibility to pay back a mortgage loan with you. This person is obligated to pay any missed payments and even the full amount of the loan if you don't pay. Some mortgage programs distinguish a co-signer as someone who is not on the title and does not have any ownership interest in the mortgaged home. Having a co-signer or co-borrower on your mortgage loan gives your lender additional assurance that the loan will be repaid. But your co-signer or co-borrower's credit record and finances are at risk if you don't repay the loan. 
Credit history,"A credit history is a record of your credit accounts and your history of paying on time as shown in your credit report. Consumer reporting companies, also known as credit reporting companies, collect and update information about your credit record and provide it to other businesses, which use it make decisions about you. Credit reports have information about your credit activity and current credit situation such as your loan paying history and the status of your credit accounts. ","A credit history is a record of your credit accounts and your history of paying on time as shown in your credit report. Consumer reporting companies, also known as credit reporting companies, collect and update information about your credit record and provide it to other businesses, which use it make decisions about you. Credit reports have information about your credit activity and current credit situation such as your loan paying history and the status of your credit accounts. "
Credit report,A credit report is a statement that has information about your credit activity and current credit situation such as loan paying history and the status of your credit accounts. Lenders use your credit scores and the information on your credit report to determine whether you qualify for a loan and what interest rate to offer you. Find out how to get a copy of your credit reports.,A credit report is a statement that has information about your credit activity and current credit situation such as loan paying history and the status of your credit accounts. Lenders use your credit scores and the information on your credit report to determine whether you qualify for a loan and what interest rate to offer you. Find out how to get a copy of your credit reports.
Credit score,"A credit score predicts how likely you are to pay back a loan on time. Companies use a mathematical formula - called a scoring model - to create your credit score from the information in your credit report. There are different scoring models, so you do not have just one credit score. Your scores depend on your credit history, the type of loan product, and even the day when it was calculated. Find out where you can get your credit score.","A credit score predicts how likely you are to pay back a loan on time. Companies use a mathematical formula - called a scoring model - to create your credit score from the information in your credit report. There are different scoring models, so you do not have just one credit score. Your scores depend on your credit history, the type of loan product, and even the day when it was calculated. Find out where you can get your credit score."
Debt ratio,Your debt-to-income ratio is all your monthly debt payments divided by your gross monthly income. This number is one way lenders measure your ability to manage the monthly payments to repay the money you plan to borrow. Learn how to calculate your debt-to-income ratio.,Your debt-to-income ratio is all your monthly debt payments divided by your gross monthly income. This number is one way lenders measure your ability to manage the monthly payments to repay the money you plan to borrow. Learn how to calculate your debt-to-income ratio.
Deed-in-lieu of foreclosure,"A deed-in-lieu of foreclosure is an arrangement where you voluntarily turn over ownership of your home to the lender to avoid the foreclosure process. A deed-in-lieu of foreclosure may help you avoid being personally liable for any amount remaining on the mortgage. If you live in a state in which you are responsible for any deficiency, which is a difference between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it for your records. A deed-in-lieu of foreclosure is one type of loss mitigation.","A deed-in-lieu of foreclosure is an arrangement where you voluntarily turn over ownership of your home to the lender to avoid the foreclosure process. A deed-in-lieu of foreclosure may help you avoid being personally liable for any amount remaining on the mortgage. If you live in a state in which you are responsible for any deficiency, which is a difference between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it for your records. A deed-in-lieu of foreclosure is one type of loss mitigation."
Delinquent,"Delinquent is another term for being late on your payments. Your loan can become delinquent when you miss a payment or don't make a full payment by the due date. After you are delinquent for a certain period of time, a lender or servicer may begin the foreclosure process. The amount of time can vary by state. Federal rules may also apply to when the foreclosure may start. ","Delinquent is another term for being late on your payments. Your loan can become delinquent when you miss a payment or don't make a full payment by the due date. After you are delinquent for a certain period of time, a lender or servicer may begin the foreclosure process. The amount of time can vary by state. Federal rules may also apply to when the foreclosure may start. "
Demand feature,"The Closing Disclosure has a statement that reads ""Your loan has a demand feature,"" which is checked ""yes"" or ""no"".A demand feature permits thelender to require early repayment of the loan. ","The Closing Disclosure has a statement that reads ""Your loan has a demand feature,"" which is checked ""yes"" or ""no"".A demand feature permits thelender to require early repayment of the loan. "
Down payment,"A down payment is the amount you pay toward the home upfront. You put a percentage of the home's value down and borrow the rest through your mortgage loan. Generally, the larger the down payment you make, the lower the interest rate you will receive and the more likely you are to be approved for a loan. ","A down payment is the amount you pay toward the home upfront. You put a percentage of the home's value down and borrow the rest through your mortgage loan. Generally, the larger the down payment you make, the lower the interest rate you will receive and the more likely you are to be approved for a loan. "
Down payment programs or grants,"A down payment grant or program typically refers to assistance provided by an organization such as a government or non-profit agency, to a homebuyer to assist them with the down payment for a home purchase. The funds may be provided as an outright grant or may require repayment, such as when the home is sold. Understand where you can get information on down payment programs and grants.","A down payment grant or program typically refers to assistance provided by an organization such as a government or non-profit agency, to a homebuyer to assist them with the down payment for a home purchase. The funds may be provided as an outright grant or may require repayment, such as when the home is sold. Understand where you can get information on down payment programs and grants."
Earnest money,"Earnest money is a deposit a buyer pays to show good faith on a signed contract agreement to buy a home. The deposit is held by a seller or third party like a real estate agent or title company. If the home sale is finalized or ""closed"" the earnest money may be applied to closing costs or the down payment. If the contract is terminated for a permissible reason, the earnest money is returned to the buyer. If the buyer does not perform in good faith, the earnest money may be forfeited and paid out to the seller. ","Earnest money is a deposit a buyer pays to show good faith on a signed contract agreement to buy a home. The deposit is held by a seller or third party like a real estate agent or title company. If the home sale is finalized or ""closed"" the earnest money may be applied to closing costs or the down payment. If the contract is terminated for a permissible reason, the earnest money is returned to the buyer. If the buyer does not perform in good faith, the earnest money may be forfeited and paid out to the seller. "
Equity,Equity is the amount your property is currently worth minus the amount of any existing mortgage on your property. Learn what a home equity loan is.,Equity is the amount your property is currently worth minus the amount of any existing mortgage on your property. Learn what a home equity loan is.
Escrow,"An escrow account is set up by your mortgage lender to pay certain property-related expenses, like property taxes and homeowner's insurance. A portion of your monthly payment goes into the account. If your mortgage doesn't have an escrow account, you pay the property-related expenses directly. Find out more about how the escrow impacts your monthly mortgage payment.","An escrow account is set up by your mortgage lender to pay certain property-related expenses, like property taxes and homeowner's insurance. A portion of your monthly payment goes into the account. If your mortgage doesn't have an escrow account, you pay the property-related expenses directly. Find out more about how the escrow impacts your monthly mortgage payment."
Fannie Mae,The Federal National Mortgage Association (Fannie Mae) purchases and guarantees mortgages from lending institutions in an effort to increase affordable lending. Fannie Mae is not a federal agency. It is a government-sponsored enterprise under the conservatorship of the Federal Housing Finance Agency (FHFA). ,The Federal National Mortgage Association (Fannie Mae) purchases and guarantees mortgages from lending institutions in an effort to increase affordable lending. Fannie Mae is not a federal agency. It is a government-sponsored enterprise under the conservatorship of the Federal Housing Finance Agency (FHFA). 
FHA funding fee,The Federal Housing Administration (FHA) requires an FHA funding fee and a monthly insurance premium (MIP) for most of its single-family programs. This upfront mortgage insurance premium is sometimes called an upfront mortgage insurance premium (UFMIP). Find out if an FHA mortgage is right for you.,The Federal Housing Administration (FHA) requires an FHA funding fee and a monthly insurance premium (MIP) for most of its single-family programs. This upfront mortgage insurance premium is sometimes called an upfront mortgage insurance premium (UFMIP). Find out if an FHA mortgage is right for you.
FHA loan,FHA loans are loans from private lenders that are regulated and insured by the Federal Housing Administration (FHA). FHA loans differ from conventional loans because they allow for lower credit scores and down payments as low as 3.5 percent of the total loan amount. Maximum loan amounts vary by county. Learn about this and other mortgage loan options.,FHA loans are loans from private lenders that are regulated and insured by the Federal Housing Administration (FHA). FHA loans differ from conventional loans because they allow for lower credit scores and down payments as low as 3.5 percent of the total loan amount. Maximum loan amounts vary by county. Learn about this and other mortgage loan options.
FHA mortgage limits,FHA mortgage limits are the dollar amount limits for qualifying mortgages that the FHA will insure as part of its single-family home mortgage program. These limits are based upon location and they may be revised each year. Use the FHA's tool to look up your county-level loan limits.,FHA mortgage limits are the dollar amount limits for qualifying mortgages that the FHA will insure as part of its single-family home mortgage program. These limits are based upon location and they may be revised each year. Use the FHA's tool to look up your county-level loan limits.
Finance charge,A finance charge is the total amount of interest and loan charges you would pay over the entire life of the mortgage loan. ,A finance charge is the total amount of interest and loan charges you would pay over the entire life of the mortgage loan. 
First-time home buyers (FTHB) loan programs,"First-time home buyers (FTHB) may use a number of different types of loan programs to purchase their first home. Popular FTHB loans include programs offered by FHA, VA, USDA, Fannie Mae, and Freddie Mac with low down payments. Some programs define a FTHB as someone who hasn't purchased a home in three years or more. Understand your loan options.","First-time home buyers (FTHB) may use a number of different types of loan programs to purchase their first home. Popular FTHB loans include programs offered by FHA, VA, USDA, Fannie Mae, and Freddie Mac with low down payments. Some programs define a FTHB as someone who hasn't purchased a home in three years or more. Understand your loan options."
Fixed-rate mortgage,A fixed-rate mortgage is a type of home loan for which the interest rate is set when you take out the loan and it will not change during the term of the loan. ,A fixed-rate mortgage is a type of home loan for which the interest rate is set when you take out the loan and it will not change during the term of the loan. 
Forbearance,"Forbearance is when your servicer allows you temporarily to pay your mortgage at a lower rate or temporarily to stop paying your mortgage. Your servicer may grant you forbearance if, for example, you recently lost your job, suffered from a disaster, or from an illness or injury that increased your health care costs. Forbearance is a type of loss mitigation. ","Forbearance is when your servicer allows you temporarily to pay your mortgage at a lower rate or temporarily to stop paying your mortgage. Your servicer may grant you forbearance if, for example, you recently lost your job, suffered from a disaster, or from an illness or injury that increased your health care costs. Forbearance is a type of loss mitigation. "
Force-placed insurance,"Your servicer may require force-placed insurance when you do not have your own insurance policy or if your own policy doesn't meet your servicer's requirements. Force-placed insurance usually protects only the lender, not you. The servicer will charge you for the insurance. Force-placed insurance is usually more expensive than finding an insurance policy yourself.","Your servicer may require force-placed insurance when you do not have your own insurance policy or if your own policy doesn't meet your servicer's requirements. Force-placed insurance usually protects only the lender, not you. The servicer will charge you for the insurance. Force-placed insurance is usually more expensive than finding an insurance policy yourself."
Foreclosure,"Foreclosure is when the lender or servicer takes back property after the homeowner fails to make mortgage payments. In some states, the lender has to go to court to foreclose on your property (judicial foreclosure), but other states do not require a court process (non-judicial foreclosure). Generally, borrowers must be notified if the lender or servicer begins foreclosure proceedings. Federal rules may apply to when the foreclosure may start. If you're concerned about foreclosure, learn how to get help. If you are impacted by the coronavirus Get more information about mortgage relief options.","Foreclosure is when the lender or servicer takes back property after the homeowner fails to make mortgage payments. In some states, the lender has to go to court to foreclose on your property (judicial foreclosure), but other states do not require a court process (non-judicial foreclosure). Generally, borrowers must be notified if the lender or servicer begins foreclosure proceedings. Federal rules may apply to when the foreclosure may start. If you're concerned about foreclosure, learn how to get help. If you are impacted by the coronavirus Get more information about mortgage relief options."
Freddie Mac,"The Federal Home Loan Mortgage Corporation (Freddie Mac) is a private corporation founded by Congress. Its mission is to promote stability and affordability in the housing market by purchasing mortgages from banks and other loan makers. The corporation is currently under conservatorship, under the direction of the Federal Housing Finance Agency (FHFA). ","The Federal Home Loan Mortgage Corporation (Freddie Mac) is a private corporation founded by Congress. Its mission is to promote stability and affordability in the housing market by purchasing mortgages from banks and other loan makers. The corporation is currently under conservatorship, under the direction of the Federal Housing Finance Agency (FHFA). "
Good Faith Estimate,A Good Faith Estimate (GFE) is a form that a lender must give you when you apply for a reverse mortgage. The GFE lists basic information about the terms of the reverse mortgage loan offer. Find out when you'd receive a Good Faith Estimate.,A Good Faith Estimate (GFE) is a form that a lender must give you when you apply for a reverse mortgage. The GFE lists basic information about the terms of the reverse mortgage loan offer. Find out when you'd receive a Good Faith Estimate.
Government recording charges,"Government recording charges are fees assessed by state and local government agencies for legally recording your deed, mortgage and documents related to your home loan. ","Government recording charges are fees assessed by state and local government agencies for legally recording your deed, mortgage and documents related to your home loan. "
Higher-priced mortgage loan,"In general, a higher-priced mortgage loan is one with anannual percentage rate, or APR, higher than a benchmark rate called the Average Prime Offer Rate. ","In general, a higher-priced mortgage loan is one with anannual percentage rate, or APR, higher than a benchmark rate called the Average Prime Offer Rate. "
HOA dues,"If you're interested in buying a condo, co-op, or a home in a planned subdivision or other organized community with shared services, you usually have to pay condo fees or Homeowners' Association (HOA) dues. These fees vary widely. Condo or HOA fees are usually paid separately from your monthly mortgage payment. If you do not pay these fees, you can face debt collection efforts by the homeowner's association and even foreclosure. ","If you're interested in buying a condo, co-op, or a home in a planned subdivision or other organized community with shared services, you usually have to pay condo fees or Homeowners' Association (HOA) dues. These fees vary widely. Condo or HOA fees are usually paid separately from your monthly mortgage payment. If you do not pay these fees, you can face debt collection efforts by the homeowner's association and even foreclosure. "
Home appraisal,An appraisal is a written document that shows an opinion of how much a property is worth. The appraisal gives you useful information about the property. It describes what makes it valuable and may show how it compares to other properties in the neighborhood. An appraisal is an independent assessment of the value of the property. ,An appraisal is a written document that shows an opinion of how much a property is worth. The appraisal gives you useful information about the property. It describes what makes it valuable and may show how it compares to other properties in the neighborhood. An appraisal is an independent assessment of the value of the property. 
Home equity line of credit (HELOC),"A home equity line of credit (HELOC) is a line of credit that allows you to borrow against your home equity. Equity is the amount your property is currently worth, minus the amount of any mortgage on your property. Unlike a home equity loan, HELOCs usually have adjustable interest rates. For most HELOCs, you will receive special checks or a credit card, and you can borrow money for a specified time from when you open your account. This time period is known as the ""draw period"". During the ""draw period,"" you can borrow money, and you must make minimum payments. When the ""draw period"" ends, you will no longer be able to borrow money from your line of credit. After the ""draw period"" ends you may be required to pay off your balance all at once or you may be allowed to repay over a certain period of time. If you cannot pay back the HELOC, the lender could foreclose on your home.","A home equity line of credit (HELOC) is a line of credit that allows you to borrow against your home equity. Equity is the amount your property is currently worth, minus the amount of any mortgage on your property. Unlike a home equity loan, HELOCs usually have adjustable interest rates. For most HELOCs, you will receive special checks or a credit card, and you can borrow money for a specified time from when you open your account. This time period is known as the ""draw period"". During the ""draw period,"" you can borrow money, and you must make minimum payments. When the ""draw period"" ends, you will no longer be able to borrow money from your line of credit. After the ""draw period"" ends you may be required to pay off your balance all at once or you may be allowed to repay over a certain period of time. If you cannot pay back the HELOC, the lender could foreclose on your home."
Home equity loan,"A home equity loan (sometimes called a HEL) allows you to borrow money using the equity in your home as collateral. Equity is the amount your property is currently worth, minus the amount of any existing mortgage on your property. You receive the money from a home equity loan as a lump sum. A home equity loan usually has a fixed interest rate - one that will not change. If you cannot pay back the HEL, the lender could foreclose on your home.","A home equity loan (sometimes called a HEL) allows you to borrow money using the equity in your home as collateral. Equity is the amount your property is currently worth, minus the amount of any existing mortgage on your property. You receive the money from a home equity loan as a lump sum. A home equity loan usually has a fixed interest rate - one that will not change. If you cannot pay back the HEL, the lender could foreclose on your home."
Home inspection,"A home inspection is often part of the home buying process. You typically have the right to hire a home inspector to examine a property and point out its strengths and weaknesses. This is often especially helpful to test a home's structural and mechanical systems including heating, ventilation, air conditioning, and electrical. Learn how to schedule an inspection.","A home inspection is often part of the home buying process. You typically have the right to hire a home inspector to examine a property and point out its strengths and weaknesses. This is often especially helpful to test a home's structural and mechanical systems including heating, ventilation, air conditioning, and electrical. Learn how to schedule an inspection."
Homeowners' Association (HOA),"A homeowners' association (HOA), is typically formed to manage shared expenses such as landscaping and other maintenance costs for a planned subdivision or other organized community. Condominium HOAs take on more responsibilities including, for example, the maintenance of driveways, shared structures, and roofs. Get more information on how HOAs may appear on your mortgage statement.","A homeowners' association (HOA), is typically formed to manage shared expenses such as landscaping and other maintenance costs for a planned subdivision or other organized community. Condominium HOAs take on more responsibilities including, for example, the maintenance of driveways, shared structures, and roofs. Get more information on how HOAs may appear on your mortgage statement."
Homeowner's insurance,"Homeowner's insurance pays for losses and damage to your property if something unexpected happens, like a fire or burglary. When you have a mortgage, your lender wants to make sure your property is protected by insurance. That's why lenders generally require proof that you have homeowner's insurance. Homeowner's insurance is not the same as mortgage insurance. ","Homeowner's insurance pays for losses and damage to your property if something unexpected happens, like a fire or burglary. When you have a mortgage, your lender wants to make sure your property is protected by insurance. That's why lenders generally require proof that you have homeowner's insurance. Homeowner's insurance is not the same as mortgage insurance. "
Home purchase price,A home's purchase price is the amount agreed to by the buyer and seller to be paid to the seller to purchase the home. ,A home's purchase price is the amount agreed to by the buyer and seller to be paid to the seller to purchase the home. 
HUD,The Department of Housing and Urban Development (HUD) is a government agency that helps people get and maintain quality affordable housing. They train and sponsor housing counselors all over the country. A HUD-approved housing counseling agency can provide you with homebuyer counseling to help you understand and evaluate your options. Find a HUD-approved housing counseling agency.,The Department of Housing and Urban Development (HUD) is a government agency that helps people get and maintain quality affordable housing. They train and sponsor housing counselors all over the country. A HUD-approved housing counseling agency can provide you with homebuyer counseling to help you understand and evaluate your options. Find a HUD-approved housing counseling agency.
HUD-1 settlement statement,"The HUD-1 Settlement Statement lists all charges and credits to the buyer and to the seller in a real estate settlement, or all the charges in a mortgage refinance. You receive a HUD-1 if you apply for a reverse mortgage or if you applied for a mortgage on or before October 3, 2015. Find out when you'd receive a HUD-1.","The HUD-1 Settlement Statement lists all charges and credits to the buyer and to the seller in a real estate settlement, or all the charges in a mortgage refinance. You receive a HUD-1 if you apply for a reverse mortgage or if you applied for a mortgage on or before October 3, 2015. Find out when you'd receive a HUD-1."
Index,"The index is a benchmark interest rate that reflects general market conditions. The index changes based on the market. Changes in the index, along with your loan's margin, determine the changes to the interest rate for an adjustable-rate mortgage loan. Understand how the index factors into the interest rate for an adjustable-rate mortgage loan.","The index is a benchmark interest rate that reflects general market conditions. The index changes based on the market. Changes in the index, along with your loan's margin, determine the changes to the interest rate for an adjustable-rate mortgage loan. Understand how the index factors into the interest rate for an adjustable-rate mortgage loan."
Initial adjustment cap,"An initial adjustment cap is typically associated with adjustable rate mortgages (ARMs). This cap determines how much the interest rate can increase the first time it adjusts after the fixed-rate period expires. It's common for this cap to be either two or five percent - meaning that at the first rate change, the new rate can't be more than two (or five) percentage points higher than the initial rate during the fixed-rate period. Understand how the index factors into adjustable-rate mortgage loans.","An initial adjustment cap is typically associated with adjustable rate mortgages (ARMs). This cap determines how much the interest rate can increase the first time it adjusts after the fixed-rate period expires. It's common for this cap to be either two or five percent - meaning that at the first rate change, the new rate can't be more than two (or five) percentage points higher than the initial rate during the fixed-rate period. Understand how the index factors into adjustable-rate mortgage loans."
Initial escrow deposit,"An initial escrow deposit is the amount that you will pay at closing to start yourescrow account, if required by your lender. ","An initial escrow deposit is the amount that you will pay at closing to start yourescrow account, if required by your lender. "
Interest-only loan,An interest-only mortgage is a loan with scheduled payments that require you to pay only the interest for a specified amount of time. ,An interest-only mortgage is a loan with scheduled payments that require you to pay only the interest for a specified amount of time. 
Interest rate,"An interest rate on a mortgage loan is the cost you will pay each year to borrow the money, expressed as a percentage rate. It does not reflect fees or any other charges you may have to pay for the loan. For example, if the mortgage loan is for $100,000 at an interest rate of 4 percent, that consumer has agreed to pay $4,000 each year he or she borrows or owes that full amount. Explore interest rates in your area.","An interest rate on a mortgage loan is the cost you will pay each year to borrow the money, expressed as a percentage rate. It does not reflect fees or any other charges you may have to pay for the loan. For example, if the mortgage loan is for $100,000 at an interest rate of 4 percent, that consumer has agreed to pay $4,000 each year he or she borrows or owes that full amount. Explore interest rates in your area."
Interest rate cap,"An interest rate cap, sometimes referred to as an annual cap, is the maximum interest rate increase that can occur annually for an adjustable rate mortgage (ARM) even if the rate would have increased more under market interest rates. For example, if this cap is two percent, the new rate can't be more than two percentage points higher than the previous rate. Understand how lenders use the index and margin to adjust your interest rate.","An interest rate cap, sometimes referred to as an annual cap, is the maximum interest rate increase that can occur annually for an adjustable rate mortgage (ARM) even if the rate would have increased more under market interest rates. For example, if this cap is two percent, the new rate can't be more than two percentage points higher than the previous rate. Understand how lenders use the index and margin to adjust your interest rate."
Jumbo loan,"Each year Fannie Mae, Freddie Mac, and their regulator, the Federal Housing Finance Agency (FHFA), set a maximum amount for loans that they will buy from lenders. ","Each year Fannie Mae, Freddie Mac, and their regulator, the Federal Housing Finance Agency (FHFA), set a maximum amount for loans that they will buy from lenders. "
Lenders title insurance,"Lender's title insurance protects your lender against problems with the title to your property-such as someone with a legal claim against the home. Lender's title insurance only protects the lender against problems with the title. To protect yourself, you may want to purchase owner's title insurance. ","Lender's title insurance protects your lender against problems with the title to your property-such as someone with a legal claim against the home. Lender's title insurance only protects the lender against problems with the title. To protect yourself, you may want to purchase owner's title insurance. "
Lifetime adjustment cap,"A lifetime adjustment cap is typically used with adjustable rate mortgages (ARMs). This cap determines how much the interest rate can increase in total, over the life of the loan. For example, if this cap is five percent, that means the rate can never be five percentage points higher than the initial rate. Some lenders may have a different or higher cap. Understand how the index factors into adjustable-rate mortgage loans.","A lifetime adjustment cap is typically used with adjustable rate mortgages (ARMs). This cap determines how much the interest rate can increase in total, over the life of the loan. For example, if this cap is five percent, that means the rate can never be five percentage points higher than the initial rate. Some lenders may have a different or higher cap. Understand how the index factors into adjustable-rate mortgage loans."
Loan estimate,A Loan Estimate is a three-page form that you receive after applying for a mortgage. ,A Loan Estimate is a three-page form that you receive after applying for a mortgage. 
